daytype,ridership,date,route,month_beginning,routename,avg_saturday_rides,avg_sunday_holiday_rides,monthtotal,avg_weekday_rides
W,2122,2001-01-04,63W,2001-01-01,West 63rd,720.5,378.2,53094.0,2196.4
W,9649,2001-01-03,146,2001-01-01,Inner Drive/Michigan Express,5362.4,3117.4,242849.0,9355.1
W,5517,2001-01-05,27,2001-01-01,South Deering,2984.1,2423.6,147904.0,5629.5
W,8254,2001-01-04,47,2001-01-01,47th,6422.7,3490.7,220680.0,8069.8
U,6189,2001-01-01,67,2001-01-01,67th-69th-71st,9844.6,7025.6,387336.0,14219.5
W,6487,2001-01-02,50,2001-01-01,Damen,4419.7,2470.1,213128.0,8322.7
W,2989,2001-01-02,24,2001-01-01,Wentworth,0.0,0.0,85655.0,3893.4
W,70,2001-01-02,25,2001-01-01,West Cermak,0.0,0.0,3186.0,144.8
W,16543,2001-01-05,6,2001-01-01,Jackson Park Express,13088.2,7165.6,493926.0,18443.0
W,14144,2001-01-03,56,2001-01-01,Milwaukee,9160.4,6174.4,381555.0,14274.6
W,3513,2001-01-03,59,2001-01-01,59th/61st,2222.6,0.0,102622.0,4260.5
U,610,2001-01-01,11,2001-01-01,Lincoln/Sedgwick,1667.3,869.5,86887.0,3448.7
W,89,2001-01-04,25,2001-01-01,West Cermak,0.0,0.0,3186.0,144.8
U,6309,2001-01-01,8,2001-01-01,Halsted,12420.0,8280.8,521892.0,19582.2
W,355,2001-01-03,170,2001-01-01,U. of Chicago/Midway,0.0,0.0,6315.0,287.1
W,582,2001-01-04,120,2001-01-01,Ogilvie/Wacker Express,0.0,0.0,13982.0,635.5
W,10856,2001-01-05,28,2001-01-01,Stony Island,11269.6,5587.8,336246.0,11964.9
W,2993,2001-01-03,157,2001-01-01,Streeterville/Taylor,0.0,0.0,72933.0,3315.2
W,3144,2001-01-04,103,2001-01-01,West 103rd,1564.8,1071.0,93121.0,3704.9
W,21861,2001-01-02,151,2001-01-01,Sheridan,14136.3,11694.7,634324.0,23604.8
W,161,2001-01-04,173,2001-01-01,U. of Chicago/Lakeview Express,562.1,254.6,9088.0,253.0
W,2980,2001-01-05,11,2001-01-01,Lincoln/Sedgwick,1667.3,869.5,86887.0,3448.7
W,4730,2001-01-04,119,2001-01-01,Michigan/119th,4747.3,2890.1,147205.0,5171.2
U,4675,2001-01-01,54,2001-01-01,Cicero,9536.3,5940.5,334903.0,12138.9
W,665,2001-01-04,123,2001-01-01,Illinois Center/Union Express,0.0,0.0,19495.0,886.2
W,77,2001-01-03,25,2001-01-01,West Cermak,0.0,0.0,3186.0,144.8
U,4143,2001-01-01,85,2001-01-01,Central,8148.9,4850.7,346996.0,13188.5
W,6535,2001-01-02,21,2001-01-01,Cermak,7747.2,4781.0,218216.0,7423.7
W,5670,2001-01-04,44,2001-01-01,Wallace-Racine,2696.0,1564.6,162910.0,6559.2
W,2063,2001-01-05,37,2001-01-01,Sedgwick,0.0,0.0,55014.0,2500.6
W,321,2001-01-02,202,2001-01-01,Main/Emerson,0.0,0.0,10563.0,480.1
W,1961,2001-01-02,37,2001-01-01,Sedgwick,0.0,0.0,55014.0,2500.6
W,7747,2001-01-03,50,2001-01-01,Damen,4419.7,2470.1,213128.0,8322.7
W,1173,2001-01-04,54A,2001-01-01,North Cicero/Skokie Blvd.,0.0,0.0,28188.0,1281.3
W,426,2001-01-02,69,2001-01-01,Cumberland/East River,0.0,0.0,8761.0,417.2
U,723,2001-01-01,X21,2001-01-01,Cermak Express,1177.9,855.9,8991.0,0.0
W,4678,2001-01-03,49B,2001-01-01,North Western,3065.0,1954.1,133958.0,5087.6
W,4895,2001-01-04,111,2001-01-01,Pullman/111th/115th,3474.9,2062.4,157849.0,6074.4
U,1571,2001-01-01,49B,2001-01-01,North Western,3065.0,1954.1,133958.0,5087.6
U,1870,2001-01-01,91,2001-01-01,Austin,4415.0,2384.8,218421.0,8583.5
W,12428,2001-01-04,74,2001-01-01,Fullerton,9858.6,5968.0,351804.0,12842.3
W,2036,2001-01-03,63W,2001-01-01,West 63rd,720.5,378.2,53094.0,2196.4
W,6755,2001-01-04,21,2001-01-01,Cermak,7747.2,4781.0,218216.0,7423.7
W,771,2001-01-03,171,2001-01-01,U. of Chicago/Hyde Park,413.2,178.3,21573.0,864.9
W,4148,2001-01-04,90,2001-01-01,Harlem,3002.1,1382.3,104289.0,3880.4
W,4268,2001-01-02,7,2001-01-01,Harrison,0.0,0.0,121097.0,5504.4
U,326,2001-01-01,106,2001-01-01,East 103rd,570.3,398.4,55265.0,2317.8
W,6907,2001-01-04,1,2001-01-01,Indiana/Hyde Park,0.0,0.0,153617.0,6982.6
W,11034,2001-01-02,76,2001-01-01,Diversey,8168.3,4827.2,348404.0,13254.3
W,11569,2001-01-04,54,2001-01-01,Cicero,9536.3,5940.5,334903.0,12138.9
W,521,2001-01-03,169,2001-01-01,69th-UPS Express,53.7,0.0,19704.0,885.9
U,945,2001-01-01,97,2001-01-01,Skokie,2066.7,1167.5,95096.0,3681.4
U,1832,2001-01-01,50,2001-01-01,Damen,4419.7,2470.1,213128.0,8322.7
W,19000,2001-01-02,4,2001-01-01,Cottage Grove,17994.0,10662.2,618796.0,22432.2
W,10881,2001-01-03,80,2001-01-01,Irving Park,8077.1,5275.2,319117.0,11837.8
U,3454,2001-01-01,21,2001-01-01,Cermak,7747.2,4781.0,218216.0,7423.7
W,15132,2001-01-04,87,2001-01-01,87th,10389.7,5571.5,415524.0,15732.2
U,4295,2001-01-01,70,2001-01-01,Division,7625.8,5264.0,301077.0,11102.5
W,5436,2001-01-05,35,2001-01-01,35th,3342.5,1810.1,153931.0,5977.7
U,2,2001-01-01,172,2001-01-01,U. of Chicago/Kenwood,74.4,46.6,20116.0,890.2
U,2201,2001-01-01,95W,2001-01-01,West 95th,4526.5,2556.7,144468.0,5162.6
W,3188,2001-01-04,11,2001-01-01,Lincoln/Sedgwick,1667.3,869.5,86887.0,3448.7
W,3035,2001-01-02,157,2001-01-01,Streeterville/Taylor,0.0,0.0,72933.0,3315.2
W,2035,2001-01-02,108,2001-01-01,Halsted/95th,0.0,0.0,64417.0,2928.1
U,2159,2001-01-01,119,2001-01-01,Michigan/119th,4747.3,2890.1,147205.0,5171.2
W,164,2001-01-03,127,2001-01-01,Madison/Roosevelt Circulator,0.0,0.0,5410.0,245.9
U,3541,2001-01-01,34,2001-01-01,South Michigan,5744.2,3580.5,214933.0,7911.6
W,515,2001-01-04,169,2001-01-01,69th-UPS Express,53.7,0.0,19704.0,885.9
W,1260,2001-01-04,43,2001-01-01,43rd,679.3,354.8,34213.0,1351.0
W,19796,2001-01-03,49,2001-01-01,Western,20598.9,12432.2,666662.0,23732.1
W,11059,2001-01-03,76,2001-01-01,Diversey,8168.3,4827.2,348404.0,13254.3
U,1694,2001-01-01,92,2001-01-01,Foster,4123.2,2316.9,191196.0,7414.5
W,4177,2001-01-04,51,2001-01-01,51st,3675.0,2169.4,127952.0,4654.8
U,1104,2001-01-01,53A,2001-01-01,South Pulaski,3198.0,1417.1,218700.0,9037.4
U,5812,2001-01-01,82,2001-01-01,Kimball-Homan,11451.6,6745.8,511235.0,19622.7
W,5752,2001-01-04,95E,2001-01-01,93rd-95th,4530.5,3014.3,160511.0,5787.1
W,10791,2001-01-03,55,2001-01-01,Garfield,9126.4,6495.9,350112.0,12778.5
W,21081,2001-01-04,4,2001-01-01,Cottage Grove,17994.0,10662.2,618796.0,22432.2
W,1387,2001-01-02,93,2001-01-01,California/Dodge,1057.5,0.0,53246.0,2228.0
W,1047,2001-01-02,203,2001-01-01,Ridge/Grant,0.0,0.0,35053.0,1593.3
W,1346,2001-01-03,203,2001-01-01,Ridge/Grant,0.0,0.0,35053.0,1593.3
U,7877,2001-01-01,22,2001-01-01,Clark,14634.5,10462.2,577386.0,21206.2
W,274,2001-01-02,64,2001-01-01,Foster-Canfield,0.0,0.0,7419.0,337.2
W,2213,2001-01-02,57,2001-01-01,Laramie,1412.8,616.1,75668.0,3042.6
U,385,2001-01-01,10,2001-01-01,Museum of S & I,562.6,372.9,4115.0,0.0
W,6155,2001-01-03,75,2001-01-01,74th-75th,4725.3,2795.5,188676.0,7081.7
W,936,2001-01-02,121,2001-01-01,Union/Wacker Express,0.0,0.0,26633.0,1210.6
W,8352,2001-01-04,145,2001-01-01,Wilson/Michigan Express,4110.5,1831.2,203232.0,8074.3
W,940,2001-01-03,85A,2001-01-01,North Central,148.7,0.0,21550.0,952.5
W,13032,2001-01-04,60,2001-01-01,Blue Island/26th,9929.4,6310.6,366761.0,13431.4
W,5011,2001-01-04,27,2001-01-01,South Deering,2984.1,2423.6,147904.0,5629.5
W,7799,2001-01-05,14,2001-01-01,Jeffery Express,0.0,0.0,186655.0,8484.3
U,7096,2001-01-01,20,2001-01-01,Madison,12804.3,8184.0,566683.0,21570.3
W,10097,2001-01-04,70,2001-01-01,Division,7625.8,5264.0,301077.0,11102.5
W,6297,2001-01-05,21,2001-01-01,Cermak,7747.2,4781.0,218216.0,7423.7
W,329,2001-01-02,127,2001-01-01,Madison/Roosevelt Circulator,0.0,0.0,5410.0,245.9
W,13066,2001-01-03,62,2001-01-01,Archer,6856.3,4667.4,379135.0,14926.0
U,2191,2001-01-01,146,2001-01-01,Inner Drive/Michigan Express,5362.4,3117.4,242849.0,9355.1
W,857,2001-01-02,204,2001-01-01,Dodge,0.0,0.0,31798.0,1445.4
W,4857,2001-01-03,95E,2001-01-01,93rd-95th,4530.5,3014.3,160511.0,5787.1
W,3140,2001-01-02,11,2001-01-01,Lincoln/Sedgwick,1667.3,869.5,86887.0,3448.7
W,25587,2001-01-03,79,2001-01-01,79th,23808.6,15573.7,833507.0,30018.4
W,1352,2001-01-02,68,2001-01-01,Northwest Highway,608.1,286.5,38614.0,1579.5
W,4994,2001-01-03,52A,2001-01-01,South Kedzie,3596.1,1925.5,154232.0,5919.1
W,2424,2001-01-03,57,2001-01-01,Laramie,1412.8,616.1,75668.0,3042.6
W,12176,2001-01-04,76,2001-01-01,Diversey,8168.3,4827.2,348404.0,13254.3
W,2613,2001-01-02,112,2001-01-01,Vincennes/111th,1439.3,935.1,95661.0,3874.0
W,7089,2001-01-03,34,2001-01-01,South Michigan,5744.2,3580.5,214933.0,7911.6
W,9272,2001-01-02,146,2001-01-01,Inner Drive/Michigan Express,5362.4,3117.4,242849.0,9355.1
W,17775,2001-01-04,77,2001-01-01,Belmont,12733.9,8400.0,529774.0,19856.3
W,322,2001-01-04,170,2001-01-01,U. of Chicago/Midway,0.0,0.0,6315.0,287.1
W,12450,2001-01-03,81,2001-01-01,Lawrence,11561.8,7558.0,402803.0,14489.3
W,876,2001-01-02,123,2001-01-01,Illinois Center/Union Express,0.0,0.0,19495.0,886.2
W,11896,2001-01-03,67,2001-01-01,67th-69th-71st,9844.6,7025.6,387336.0,14219.5
U,11207,2001-01-01,9,2001-01-01,Ashland,22621.7,15336.1,811006.0,29265.4
W,381,2001-01-04,129,2001-01-01,West Loop/South Loop,0.0,0.0,17439.0,792.7
W,3500,2001-01-02,73,2001-01-01,Armitage,2688.6,1372.4,127491.0,4994.3
W,9613,2001-01-02,52,2001-01-01,Kedzie/California,8223.9,5112.6,313490.0,11592.4
W,15628,2001-01-02,77,2001-01-01,Belmont,12733.9,8400.0,529774.0,19856.3
W,4912,2001-01-02,44,2001-01-01,Wallace-Racine,2696.0,1564.6,162910.0,6559.2
W,7353,2001-01-02,126,2001-01-01,Jackson,4785.9,2650.5,255239.0,10129.2
W,14784,2001-01-04,81,2001-01-01,Lawrence,11561.8,7558.0,402803.0,14489.3
W,956,2001-01-02,43,2001-01-01,43rd,679.3,354.8,34213.0,1351.0
W,19117,2001-01-03,63,2001-01-01,63rd,17120.8,11466.5,605727.0,21814.1
W,12005,2001-01-02,72,2001-01-01,North,11359.3,6853.7,418889.0,15417.4
W,11753,2001-01-04,85,2001-01-01,Central,8148.9,4850.7,346996.0,13188.5
W,17764,2001-01-02,63,2001-01-01,63rd,17120.8,11466.5,605727.0,21814.1
W,12428,2001-01-04,55,2001-01-01,Garfield,9126.4,6495.9,350112.0,12778.5
U,2689,2001-01-01,126,2001-01-01,Jackson,4785.9,2650.5,255239.0,10129.2
W,1138,2001-01-03,86,2001-01-01,Narragansett/Ridgeland,0.0,0.0,40287.0,1831.2
W,2686,2001-01-02,30,2001-01-01,South Chicago,1960.2,652.2,95218.0,3823.5
W,7954,2001-01-03,147,2001-01-01,Outer Drive Express,5443.1,0.0,215649.0,8812.6
W,1233,2001-01-02,96,2001-01-01,Lunt,0.0,0.0,29550.0,1343.2
W,974,2001-01-03,68,2001-01-01,Northwest Highway,608.1,286.5,38614.0,1579.5
W,1158,2001-01-03,201,2001-01-01,Central/Ridge,615.9,268.9,31865.0,1275.3
W,19424,2001-01-04,3,2001-01-01,King Drive,13210.7,8725.3,567413.0,21406.5
W,1136,2001-01-02,201,2001-01-01,Central/Ridge,615.9,268.9,31865.0,1275.3
U,1507,2001-01-01,111,2001-01-01,Pullman/111th/115th,3474.9,2062.4,157849.0,6074.4
W,2421,2001-01-02,8A,2001-01-01,South Halsted,3006.6,1336.2,89030.0,3196.5
W,17872,2001-01-05,8,2001-01-01,Halsted,12420.0,8280.8,521892.0,19582.2
W,4488,2001-01-02,111,2001-01-01,Pullman/111th/115th,3474.9,2062.4,157849.0,6074.4
W,164,2001-01-02,173,2001-01-01,U. of Chicago/Lakeview Express,562.1,254.6,9088.0,253.0
W,20265,2001-01-04,22,2001-01-01,Clark,14634.5,10462.2,577386.0,21206.2
W,880,2001-01-05,33,2001-01-01,Mag Mile Express,0.0,0.0,16944.0,770.2
W,20680,2001-01-05,22,2001-01-01,Clark,14634.5,10462.2,577386.0,21206.2
W,17928,2001-01-04,8,2001-01-01,Halsted,12420.0,8280.8,521892.0,19582.2
W,2007,2001-01-04,37,2001-01-01,Sedgwick,0.0,0.0,55014.0,2500.6
W,670,2001-01-03,55N,2001-01-01,55th/Narragansett,164.4,0.0,24237.0,1071.8
W,14646,2001-01-04,72,2001-01-01,North,11359.3,6853.7,418889.0,15417.4
U,3966,2001-01-01,80,2001-01-01,Irving Park,8077.1,5275.2,319117.0,11837.8
W,5085,2001-01-03,44,2001-01-01,Wallace-Racine,2696.0,1564.6,162910.0,6559.2
W,2085,2001-01-04,39,2001-01-01,Pershing,0.0,0.0,49492.0,2249.6
W,5261,2001-01-03,35,2001-01-01,35th,3342.5,1810.1,153931.0,5977.7
U,186,2001-01-01,201,2001-01-01,Central/Ridge,615.9,268.9,31865.0,1275.3
W,16697,2001-01-02,3,2001-01-01,King Drive,13210.7,8725.3,567413.0,21406.5
W,1105,2001-01-04,33,2001-01-01,Mag Mile Express,0.0,0.0,16944.0,770.2
U,221,2001-01-01,68,2001-01-01,Northwest Highway,608.1,286.5,38614.0,1579.5
W,389,2001-01-02,172,2001-01-01,U. of Chicago/Kenwood,74.4,46.6,20116.0,890.2
W,5877,2001-01-02,92,2001-01-01,Foster,4123.2,2316.9,191196.0,7414.5
W,2691,2001-01-04,24,2001-01-01,Wentworth,0.0,0.0,85655.0,3893.4
W,2245,2001-01-04,136,2001-01-01,Sheridan/LaSalle Express,0.0,0.0,45218.0,2055.4
W,8150,2001-01-02,147,2001-01-01,Outer Drive Express,5443.1,0.0,215649.0,8812.6
W,641,2001-01-02,48,2001-01-01,South Damen,0.0,0.0,24654.0,1120.6
W,5778,2001-01-02,53A,2001-01-01,South Pulaski,3198.0,1417.1,218700.0,9037.4
W,4979,2001-01-02,95W,2001-01-01,West 95th,4526.5,2556.7,144468.0,5162.6
U,1734,2001-01-01,152,2001-01-01,Addison,4457.2,2287.1,265503.0,10738.1
W,2179,2001-01-03,108,2001-01-01,Halsted/95th,0.0,0.0,64417.0,2928.1
W,2263,2001-01-04,108,2001-01-01,Halsted/95th,0.0,0.0,64417.0,2928.1
W,3548,2001-01-03,51,2001-01-01,51st,3675.0,2169.4,127952.0,4654.8
W,11179,2001-01-04,52,2001-01-01,Kedzie/California,8223.9,5112.6,313490.0,11592.4
W,3682,2001-01-04,97,2001-01-01,Skokie,2066.7,1167.5,95096.0,3681.4
W,2933,2001-01-03,125,2001-01-01,Water Tower Express,0.0,0.0,59197.0,2690.8
W,302,2001-01-04,56A,2001-01-01,North Milwaukee,0.0,0.0,11938.0,568.5
W,1428,2001-01-03,88,2001-01-01,Higgins,650.3,523.9,43101.0,1721.8
W,530,2001-01-04,64,2001-01-01,Foster-Canfield,0.0,0.0,7419.0,337.2
W,6809,2001-01-03,1,2001-01-01,Indiana/Hyde Park,0.0,0.0,153617.0,6982.6
W,322,2001-01-03,202,2001-01-01,Main/Emerson,0.0,0.0,10563.0,480.1
U,2540,2001-01-01,155,2001-01-01,Devon,5229.9,3555.3,198930.0,7283.4
W,177,2001-01-03,19,2001-01-01,United Center Express,327.1,368.4,6273.0,322.0
W,1137,2001-01-02,62H,2001-01-01,Archer/Harlem,640.0,0.0,33189.0,1392.2
W,7840,2001-01-02,94,2001-01-01,South California,4792.6,3467.0,269786.0,10603.7
W,461,2001-01-03,120,2001-01-01,Ogilvie/Wacker Express,0.0,0.0,13982.0,635.5
W,18510,2001-01-02,53,2001-01-01,Pulaski,15984.4,9466.2,589242.0,21726.0
W,255,2001-01-05,19,2001-01-01,United Center Express,327.1,368.4,6273.0,322.0
W,4684,2001-01-04,X49,2001-01-01,Western Express,0.0,0.0,112899.0,5131.8
W,2746,2001-01-04,8A,2001-01-01,South Halsted,3006.6,1336.2,89030.0,3196.5
W,7886,2001-01-03,14,2001-01-01,Jeffery Express,0.0,0.0,186655.0,8484.3
W,5503,2001-01-04,52A,2001-01-01,South Kedzie,3596.1,1925.5,154232.0,5919.1
W,6212,2001-01-04,65,2001-01-01,Grand,3173.9,1805.7,169020.0,6695.3
W,8273,2001-01-02,156,2001-01-01,LaSalle,0.0,0.0,198859.0,9039.1
W,11313,2001-01-04,67,2001-01-01,67th-69th-71st,9844.6,7025.6,387336.0,14219.5
U,14683,2001-01-01,79,2001-01-01,79th,23808.6,15573.7,833507.0,30018.4
W,2971,2001-01-03,30,2001-01-01,South Chicago,1960.2,652.2,95218.0,3823.5
W,6756,2001-01-02,155,2001-01-01,Devon,5229.9,3555.3,198930.0,7283.4
W,6635,2001-01-04,75,2001-01-01,74th-75th,4725.3,2795.5,188676.0,7081.7
W,3413,2001-01-04,57,2001-01-01,Laramie,1412.8,616.1,75668.0,3042.6
W,601,2001-01-02,100,2001-01-01,Jeffery Manor Express,0.0,0.0,25673.0,1167.0
W,7496,2001-01-04,50,2001-01-01,Damen,4419.7,2470.1,213128.0,8322.7
W,14915,2001-01-02,8,2001-01-01,Halsted,12420.0,8280.8,521892.0,19582.2
U,1903,2001-01-01,27,2001-01-01,South Deering,2984.1,2423.6,147904.0,5629.5
U,5462,2001-01-01,28,2001-01-01,Stony Island,11269.6,5587.8,336246.0,11964.9
W,4384,2001-01-03,54B,2001-01-01,South Cicero,4468.6,2377.5,134823.0,4775.5
W,1151,2001-01-03,62H,2001-01-01,Archer/Harlem,640.0,0.0,33189.0,1392.2
